rank_by_stageb,trial_number,stageb_val_f1,num_valid_seeds,mean_val_f1,std_val_f1,score_mean_minus_lambda_std,frontend_type,fusion_type,pooling_type,mamba_d_model,cnn_channels,mamba_d_state,num_layers,mamba_expand,mamba_d_conv,dropout,weight_decay,label_smoothing,learning_rate,batch_size,num_time_masks,time_mask_param,num_freq_masks,freq_mask_param
3,53,0.650959633570576,2,0.6543981257893596,0.0014977536377459022,0.6536492489704867,basic_cnn,gated,meanmax,128,64,32,2,4,3,0.38808882692141133,4.033328929925517e-05,0.056385235347159994,0.0009965129364910847,32,3,28,2,6
2,55,0.6527159423728306,2,0.6481316187149735,0.005135920080044432,0.6455636586749512,basic_cnn,gated,meanmax,128,64,32,2,4,3,0.39544179730570234,3.005248332581956e-05,0.06670499070720898,0.000640440810906825,32,3,24,2,8
1,52,0.6533898077364567,2,0.6338865893556691,0.005813916775869343,0.6309796309677345,basic_cnn,gated,meanmax,128,64,32,2,4,3,0.3865301519804535,3.883987141559572e-05,0.05542770334427646,0.0006829950096674981,32,3,28,2,6
4,47,0.6505766059127083,2,0.6257487786061504,0.00923335473475001,0.6211321012387754,basic_cnn,gated,meanmax,128,64,32,2,4,3,0.3405705092471323,2.8372389711995763e-05,0.05410438398994445,0.0009712890130371613,32,3,24,2,6
5,54,0.6501145302519671,2,0.6274320038998131,0.02688146681765613,0.6139912704909851,basic_cnn,gated,meanmax,128,64,32,2,4,3,0.39134863493685934,2.9521861511090545e-05,0.06810218120773034,0.0006817686475229547,32,3,24,2,6
