number,value,datetime_start,datetime_complete,duration,params_arch_triplet,params_batch_size,params_class_weighting,params_cnn_channels,params_dropout,params_focal_gamma,params_freq_mask_param,params_label_smoothing,params_learning_rate,params_loss_type,params_mamba_d_conv,params_mamba_d_model,params_mamba_d_state,params_mamba_expand,params_max_grad_norm,params_min_lr_ratio,params_mixup_alpha,params_mixup_prob,params_num_freq_masks,params_num_layers,params_num_time_masks,params_scheduler_type,params_speed_perturb_max,params_speed_perturb_min,params_speed_perturb_prob,params_time_mask_param,params_warmup_epochs,params_weight_decay,user_attrs_repeat_best_f1s,user_attrs_repeat_best_losses,user_attrs_repeat_mean_f1,user_attrs_repeat_robust_score,user_attrs_repeat_std_f1,state
0,0.4033749518422947,2026-05-01 18:27:01.748661,2026-05-01 18:29:05.392301,0 days 00:02:03.643640,basic_cnn:gated:meanmax,32,False,48,0.41648852816008436,2.2871346474483567,12,0.02636424704863906,0.00011128853174905746,focal,5,128,32,2,1.6777639420895203,0.16401749605425897,0.1798695128633439,0.3542703315240835,3,2,1,plateau,1.1,0.9,0.17772437065861274,40,4,2.2948683681130543e-05,[0.4033749518422947],[0.8519518173855843],0.4033749518422947,0.4033749518422947,0.0,COMPLETE
1,0.4213105761223376,2026-05-01 18:29:05.499812,2026-05-01 18:30:37.469197,0 days 00:01:31.969385,basic_cnn:gated:meanmax,64,True,48,0.3593420558686559,2.8422410256414734,4,0.09726261649881028,0.0003488960745139223,focal,3,96,64,2,0.9070235476608439,0.14716932242237052,0.43149500366077176,0.3070259980080768,3,2,1,warmup_invsqrt,1.1,0.9,0.08428035290621423,40,4,2.060924941320234e-05,[0.4213105761223376],[0.741103916145343],0.4213105761223376,0.4213105761223376,0.0,COMPLETE
2,0.41976296406645985,2026-05-01 18:30:37.581417,2026-05-01 18:32:09.855666,0 days 00:01:32.274249,basic_cnn:gated:meanmax,64,True,64,0.3921964643431325,2.208322387742924,14,0.10566455605042577,0.0004329227527579915,focal,3,128,32,4,1.1413115275378245,0.18068320734549853,0.11016765069763808,0.23236742809799135,2,2,3,warmup_cosine,1.1,0.9,0.009428755706020276,24,5,8.142703971873783e-05,[0.41976296406645985],[0.8827597983449483],0.41976296406645985,0.41976296406645985,0.0,COMPLETE
3,0.40964904259821605,2026-05-01 18:32:09.965517,2026-05-01 18:34:14.443777,0 days 00:02:04.478260,basic_cnn:gated:meanmax,64,True,48,0.4114880310328125,2.1406616829393847,6,0.03862031274746775,0.0005046833287655855,focal,4,96,32,2,1.006422757105442,0.0799663418334207,0.47716388156500766,0.2969608796062266,2,3,3,warmup_invsqrt,1.1,0.9,0.1556371865230098,20,3,0.000332990803758666,[0.40964904259821605],[0.8200466438448972],0.40964904259821605,0.40964904259821605,0.0,COMPLETE
4,0.3835901463888178,2026-05-01 18:34:14.547217,2026-05-01 18:35:47.188781,0 days 00:01:32.641564,basic_cnn:gated:meanmax,64,True,48,0.4644271094811757,,16,0.061387378959315966,0.0003251569628166819,ce,4,96,64,2,0.5611627123321459,0.09662962759996356,0.33635717727529674,0.4032693085526847,2,3,2,warmup_cosine,1.1,0.9,0.004976348678356846,40,4,0.0005359366210511445,[0.3835901463888178],[1.535250168624256],0.3835901463888178,0.3835901463888178,0.0,COMPLETE
5,0.3815174452017536,2026-05-01 18:35:47.290731,2026-05-01 18:37:24.487138,0 days 00:01:37.196407,basic_cnn:gated:meanmax,64,False,64,0.5773874667497318,2.588933518305359,16,0.12331014572732679,0.00010117229084672901,focal,3,128,32,2,1.4096435894893848,0.27463854713176983,0.10367882064665186,0.23044146285980965,2,3,4,plateau,1.1,0.9,0.19905053073241674,48,3,0.001995489737195091,[0.3815174452017536],[0.8617852706131603],0.3815174452017536,0.3815174452017536,0.0,COMPLETE
6,0.3836936909779339,2026-05-01 18:37:24.594683,2026-05-01 18:39:30.848965,0 days 00:02:06.254282,basic_cnn:gated:meanmax,64,False,48,0.4086195449333521,,16,0.09680247633975367,0.00023450856019227985,ce,5,128,32,4,0.7656660191105734,0.21136807397679197,0.4761834337411658,0.4861785731007762,3,3,2,warmup_invsqrt,1.1,0.9,0.2744593170661345,48,2,0.0009411783671421352,[0.3836936909779339],[1.5022921264886284],0.3836936909779339,0.3836936909779339,0.0,COMPLETE
7,0.3945712357600756,2026-05-01 18:39:30.955361,2026-05-01 18:41:38.964922,0 days 00:02:08.009561,basic_cnn:gated:meanmax,64,False,48,0.4108184833520353,,16,0.14773730719279554,0.0005034622093017273,ce,5,128,64,2,1.2670135982914066,0.2783101381391178,0.30060651787487985,0.43948855369003254,2,3,3,warmup_cosine,1.1,0.9,0.19498917923332953,32,8,0.00041748273870710384,[0.3945712357600756],[1.5379211368034784],0.3945712357600756,0.3945712357600756,0.0,COMPLETE
