rank_by_stageb,trial_number,stageb_val_f1,num_valid_seeds,mean_val_f1,std_val_f1,score_mean_minus_lambda_std,frontend_type,fusion_type,pooling_type,mamba_d_model,cnn_channels,mamba_d_state,num_layers,mamba_expand,mamba_d_conv,dropout,weight_decay,label_smoothing,loss_type,focal_gamma,class_weighting,scheduler_type,warmup_epochs,min_lr_ratio,max_grad_norm,learning_rate,batch_size,num_time_masks,time_mask_param,num_freq_masks,freq_mask_param
2,11,0.6511099541915762,2,0.6362719107614334,0.010439774015727099,0.6310520237535698,basic_cnn,gated,meanmax,96,64,64,2,4,4,0.3847221940936901,0.00034687657057209465,0.057569447242804855,focal,1.5383242422158152,True,plateau,2,0.05328507892945211,0.5184560434136432,0.0009791380868461404,64,3,20,3,12
3,4,0.6509973772299833,2,0.6288476339692785,0.0036349590339062043,0.6270301544523254,basic_cnn,gated,meanmax,96,48,64,2,4,4,0.3003564591650728,6.995363653959081e-05,0.03707904788350927,ce,2.0,False,warmup_cosine,3,0.08622371802280578,1.2341791404163445,0.0009674988425050122,64,3,20,3,6
1,13,0.6631353191208254,2,0.6240296003136596,0.003034258303008741,0.6225124711621552,basic_cnn,gated,meanmax,96,64,64,2,4,4,0.4152693332188188,8.402188078242928e-05,0.05357540826412838,focal,2.7286010643517513,True,plateau,3,0.053422192511515525,0.8127383894041085,0.0009807304322478531,64,3,24,3,10
4,10,0.6386907866177728,2,0.61890870252751,0.0012088382066771097,0.6183042834241714,basic_cnn,gated,meanmax,96,64,64,2,4,4,0.38158539052029844,0.0003142433681314705,0.05787168849686719,focal,1.5427174367099574,True,plateau,2,0.058012929599262505,0.5935428221959732,0.0009628958965505675,64,3,20,3,12
5,21,0.628959838692787,2,0.6056645142482064,0.004297654378820348,0.6035156870587963,basic_cnn,gated,meanmax,96,48,64,2,4,4,0.3338705284756102,1.0160463120433104e-05,0.039181741803739574,ce,2.0,False,warmup_cosine,3,0.08400004215507949,1.225376391714931,0.0008407772193170084,64,3,16,1,6
