rank_by_stageb,trial_number,seed,val_f1,frontend_type,fusion_type,pooling_type,mamba_d_model,cnn_channels,mamba_d_state,num_layers,dropout,weight_decay,label_smoothing,loss_type,focal_gamma,class_weighting,scheduler_type,warmup_epochs,min_lr_ratio,max_grad_norm,learning_rate,batch_size
1,13,42,0.6209953420106509,basic_cnn,gated,meanmax,96,64,64,2,0.4152693332188188,8.402188078242928e-05,0.05357540826412838,focal,2.7286010643517513,True,plateau,3,0.053422192511515525,0.8127383894041085,0.0009807304322478531,64
1,13,1337,0.6270638586166684,basic_cnn,gated,meanmax,96,64,64,2,0.4152693332188188,8.402188078242928e-05,0.05357540826412838,focal,2.7286010643517513,True,plateau,3,0.053422192511515525,0.8127383894041085,0.0009807304322478531,64
2,11,42,0.6467116847771606,basic_cnn,gated,meanmax,96,64,64,2,0.3847221940936901,0.00034687657057209465,0.057569447242804855,focal,1.5383242422158152,True,plateau,2,0.05328507892945211,0.5184560434136432,0.0009791380868461404,64
2,11,1337,0.6258321367457064,basic_cnn,gated,meanmax,96,64,64,2,0.3847221940936901,0.00034687657057209465,0.057569447242804855,focal,1.5383242422158152,True,plateau,2,0.05328507892945211,0.5184560434136432,0.0009791380868461404,64
3,4,42,0.6324825930031847,basic_cnn,gated,meanmax,96,48,64,2,0.3003564591650728,6.995363653959081e-05,0.03707904788350927,ce,2.0,False,warmup_cosine,3,0.08622371802280578,1.2341791404163445,0.0009674988425050122,64
3,4,1337,0.6252126749353722,basic_cnn,gated,meanmax,96,48,64,2,0.3003564591650728,6.995363653959081e-05,0.03707904788350927,ce,2.0,False,warmup_cosine,3,0.08622371802280578,1.2341791404163445,0.0009674988425050122,64
4,10,42,0.6176998643208329,basic_cnn,gated,meanmax,96,64,64,2,0.38158539052029844,0.0003142433681314705,0.05787168849686719,focal,1.5427174367099574,True,plateau,2,0.058012929599262505,0.5935428221959732,0.0009628958965505675,64
4,10,1337,0.6201175407341871,basic_cnn,gated,meanmax,96,64,64,2,0.38158539052029844,0.0003142433681314705,0.05787168849686719,focal,1.5427174367099574,True,plateau,2,0.058012929599262505,0.5935428221959732,0.0009628958965505675,64
5,21,42,0.6099621686270268,basic_cnn,gated,meanmax,96,48,64,2,0.3338705284756102,1.0160463120433104e-05,0.039181741803739574,ce,2.0,False,warmup_cosine,3,0.08400004215507949,1.225376391714931,0.0008407772193170084,64
5,21,1337,0.6013668598693861,basic_cnn,gated,meanmax,96,48,64,2,0.3338705284756102,1.0160463120433104e-05,0.039181741803739574,ce,2.0,False,warmup_cosine,3,0.08400004215507949,1.225376391714931,0.0008407772193170084,64
