number,value,datetime_start,datetime_complete,duration,params_batch_size,params_class_weighting,params_cnn_channels,params_dropout,params_focal_gamma,params_freq_mask_param,params_hidden_size,params_label_smoothing,params_learning_rate,params_loss_type,params_max_grad_norm,params_min_lr_ratio,params_mixup_alpha,params_mixup_prob,params_num_freq_masks,params_num_layers,params_num_time_masks,params_scheduler_type,params_speed_perturb_max,params_speed_perturb_min,params_speed_perturb_prob,params_time_mask_param,params_warmup_epochs,params_weight_decay,user_attrs_repeat_best_f1s,user_attrs_repeat_best_losses,user_attrs_repeat_mean_f1,user_attrs_repeat_robust_score,user_attrs_repeat_std_f1,state
13,0.6515472140538089,2026-05-03 06:07:57.525153,2026-05-03 06:10:54.865257,0 days 00:02:57.340104,32,False,48,0.20627367310914538,,4,192,0.04290008075886986,0.0009542155721709485,ce,1.498584673728871,0.17452694633771249,0.1018960478612359,0.40317843636064027,2,3,1,warmup_invsqrt,1.1,0.9,0.13394815281763028,16,2,2.8950652640956647e-05,[0.6515472140538089],[1.1087979853010292],0.6515472140538089,0.6515472140538089,0.0,COMPLETE
14,0.3592149713622826,2026-05-03 06:10:54.962189,2026-05-03 06:11:19.185438,0 days 00:00:24.223249,64,True,64,0.5232302002744974,,8,192,0.08235297741089986,0.00032146785939629553,ce,1.6844491206497907,0.23147509987125747,0.30684806174238505,0.19790021357715396,4,2,3,plateau,1.1,0.9,0.20308937927469228,48,5,0.0003655252205672666,,,,,,PRUNED
15,0.6632172510959659,2026-05-03 06:11:19.282552,2026-05-03 06:14:36.857102,0 days 00:03:17.574550,64,True,48,0.2062071341012412,,10,192,0.042748814948177886,0.0007396382985156567,ce,1.128105755229308,0.15526319949229803,0.20398969206743092,0.40277518943096224,2,3,1,warmup_cosine,1.1,0.9,0.10410715614135044,28,3,6.248630538864287e-05,[0.6632172510959659],[1.2132500870336447],0.6632172510959659,0.6632172510959659,0.0,COMPLETE
16,0.48742773849404797,2026-05-03 06:14:36.957253,2026-05-03 06:15:23.288972,0 days 00:00:46.331719,32,False,48,0.30801091791737395,,12,320,0.048796388409564205,0.00023196643525095237,ce,1.100267654115198,0.13889126100413612,0.2630617361066807,0.39883503976436663,2,3,2,warmup_cosine,1.1,0.9,0.09127215560355811,28,2,0.00011913552809314298,,,,,,PRUNED
17,0.6745341342849124,2026-05-03 06:15:23.386174,2026-05-03 06:18:01.852596,0 days 00:02:38.466422,64,True,48,0.21251471540938785,,10,192,0.035694411471115496,0.000726512454277353,ce,1.640497905509838,0.16732296250299175,0.16881747986526147,0.4260345463106313,2,3,1,warmup_cosine,1.1,0.9,0.09331384959970355,32,3,2.791415903634122e-05,[0.6745341342849124],[1.0913404077648832],0.6745341342849124,0.6745341342849124,0.0,COMPLETE
18,0.48777556726133364,2026-05-03 06:18:01.954182,2026-05-03 06:18:43.464506,0 days 00:00:41.510324,32,False,48,0.2510660857637191,,10,192,0.03252472723371368,0.0004159988698189926,ce,1.9792815217040298,0.08971645594993555,0.17262552009827856,0.4480396845515318,1,3,1,warmup_cosine,1.1,0.9,0.23326943552717977,32,3,1.1173843800730351e-05,,,,,,PRUNED
19,0.49214490437561076,2026-05-03 06:18:43.567463,2026-05-03 06:19:29.693428,0 days 00:00:46.125965,32,False,48,0.3343749224990295,,14,256,0.05485560180943806,0.0006528628397347459,ce,1.6349683734815608,0.23874602296876965,0.10219642567244393,0.3594141628723901,4,3,2,plateau,1.1,0.9,0.2947993748261999,44,2,0.00040434071231254857,,,,,,PRUNED
20,0.34842793962887975,2026-05-03 06:19:29.792095,2026-05-03 06:19:57.013243,0 days 00:00:27.221148,64,True,48,0.43740321959959594,,14,320,0.07602366896968946,0.0002587465585437731,ce,1.7836341160352354,0.17550057577184058,0.372172614963601,0.44530584852036226,3,3,2,warmup_cosine,1.1,0.9,0.1799191380368904,36,5,0.00022508018364344692,,,,,,PRUNED
21,0.4025991699549994,2026-05-03 06:19:57.140434,2026-05-03 06:20:26.476621,0 days 00:00:29.336187,64,True,48,0.23436644436003068,,6,192,0.03639905206028112,0.000390770178052116,ce,1.6093696648549944,0.1040832823798985,0.2715107692738613,0.3596901815804933,2,3,1,warmup_cosine,1.1,0.9,0.06837394791635283,32,6,2.3888879825564538e-05,,,,,,PRUNED
22,0.670343420077879,2026-05-03 06:20:26.576013,2026-05-03 06:23:04.014599,0 days 00:02:37.438586,64,True,48,0.20166563583172847,,10,192,0.0416160537609131,0.0007635244668116181,ce,1.231810780053671,0.1699959315279057,0.18780245220698563,0.4068802642247304,2,3,1,warmup_cosine,1.1,0.9,0.09705263243578155,24,3,7.964885851805192e-05,[0.670343420077879],[1.0943199726317425],0.670343420077879,0.670343420077879,0.0,COMPLETE
