number,value,datetime_start,datetime_complete,duration,params_batch_size,params_class_weighting,params_cnn_channels,params_dropout,params_focal_gamma,params_freq_mask_param,params_hidden_size,params_label_smoothing,params_learning_rate,params_loss_type,params_max_grad_norm,params_min_lr_ratio,params_mixup_alpha,params_mixup_prob,params_num_freq_masks,params_num_layers,params_num_time_masks,params_scheduler_type,params_speed_perturb_max,params_speed_perturb_min,params_speed_perturb_prob,params_time_mask_param,params_warmup_epochs,params_weight_decay,user_attrs_repeat_best_f1s,user_attrs_repeat_best_losses,user_attrs_repeat_mean_f1,user_attrs_repeat_robust_score,user_attrs_repeat_std_f1,state
0,0.5101240254279464,2026-05-02 20:16:48.767123,2026-05-02 20:19:42.930171,0 days 00:02:54.163048,32,True,80,0.50024611871736,1.5047566751329413,12,192,0.12010580865919948,0.00018953847119167273,focal,1.2024056091116424,0.2968832277149541,0.14931495181054177,0.4664125546929756,4,3,2,plateau,1.1,0.9,0.2838430600450275,28,6,0.0002680625716168528,"[0.5081057427722319, 0.5161788733950898]","[0.8885338946783857, 0.905829666615676]",0.5121423080836609,0.5101240254279464,0.004036565311428986,COMPLETE
1,0.5482009903104033,2026-05-02 20:19:43.048523,2026-05-02 20:22:23.046877,0 days 00:02:39.998354,32,False,48,0.5005124225754032,,14,320,0.0882129075234533,0.0008995413762982352,ce,0.6171549786784932,0.12793616899861893,0.4751480754241686,0.48363479504504536,4,2,4,warmup_cosine,1.1,0.9,0.05737265546104689,32,2,0.0013656680018739296,"[0.564962487051222, 0.5426138247301304]","[1.2952099709773808, 1.3159270180786828]",0.5537881558906762,0.5482009903104033,0.01117433116054578,COMPLETE
2,0.36831691005848954,2026-05-02 20:22:23.161118,2026-05-02 20:24:30.329605,0 days 00:02:07.168487,64,True,48,0.4958411143400584,,8,256,0.04970606684977592,0.00013948250171100964,ce,0.7177452757007576,0.139775406453303,0.15425520852856117,0.13911520443426634,2,3,4,warmup_cosine,1.1,0.9,0.04550541126338433,32,3,0.00016338165448210665,"[0.36416221610526095, 0.3807809919181755]","[1.5270804632767785, 1.4970077859411994]",0.3724716040117182,0.36831691005848954,0.008309387906457272,COMPLETE
3,0.39474259826895275,2026-05-02 20:24:30.445604,2026-05-02 20:26:59.223510,0 days 00:02:28.777906,32,False,80,0.5391130091493515,2.7713715163347525,16,320,0.053150630881519466,0.00013368287393030409,focal,0.6846847033513755,0.28934821901821184,0.13461345484827703,0.3406946419769482,2,3,3,plateau,1.1,0.9,0.17877468717318226,28,3,7.938088234380311e-05,"[0.48586049030950584, 0.3643699675887684]","[0.6696908006565176, 0.8112022658046201]",0.4251152289491371,0.39474259826895275,0.06074526136036873,COMPLETE
4,0.3992923442198437,2026-05-02 20:26:59.340454,2026-05-02 20:29:04.826330,0 days 00:02:05.485876,64,False,64,0.5316907762409392,,8,320,0.047273321188258235,0.00018576368287677943,ce,1.3858970960398274,0.20224860744369533,0.118659611652358,0.17106713189057315,3,2,4,warmup_cosine,1.1,0.9,0.24018660722278823,32,2,0.0006060346967779147,"[0.39455268653671677, 0.4135113172692246]","[1.4800380868591565, 1.4446586076018335]",0.40403200190297067,0.3992923442198437,0.009479315366253904,COMPLETE
5,0.5744942974979239,2026-05-02 20:29:04.945210,2026-05-02 20:31:11.206282,0 days 00:02:06.261072,64,False,64,0.3382664940803157,1.80801454334177,12,320,0.07898750418482299,0.0009154690949617708,focal,1.4222658194834816,0.0786489121425709,0.22443521936293342,0.46369400386746706,2,2,4,plateau,1.1,0.9,0.2981328231697334,28,7,0.00027238455541257376,"[0.5727637363025441, 0.5796859810840637]","[0.6956455721843728, 0.7103047087895784]",0.5762248586933039,0.5744942974979239,0.0034611223907597966,COMPLETE
6,0.3010793255930454,2026-05-02 20:31:11.320032,2026-05-02 20:31:42.497914,0 days 00:00:31.177882,32,False,80,0.5400806969289712,,12,320,0.13912512786241812,0.00024343784761690117,ce,1.1142432060730796,0.2594324031744069,0.46842363764653483,0.13980643994046635,4,1,2,warmup_cosine,1.1,0.9,0.21813475043169883,48,6,0.0006398720238157944,,,,,,PRUNED
7,0.5788424095706102,2026-05-02 20:31:42.605347,2026-05-02 20:34:04.298394,0 days 00:02:21.693047,64,False,80,0.37535301608113236,2.413174361259864,12,320,0.13665479730757663,0.0007371703799011769,focal,1.5162172802913956,0.15811412961245624,0.1870044923039006,0.14409959910656656,4,3,2,warmup_invsqrt,1.1,0.9,0.2862579690289526,36,2,0.0001948315124173845,"[0.5873952520989548, 0.5759914620611619]","[0.635007321977501, 0.6419605452308266]",0.5816933570800584,0.5788424095706102,0.0057018950188964515,COMPLETE
8,0.5735472026541737,2026-05-02 20:34:04.419988,2026-05-02 20:36:21.905958,0 days 00:02:17.485970,64,True,64,0.3547744082805947,,8,256,0.11394931414359055,0.0005019134544935481,ce,1.781710541156672,0.2895797419480447,0.17793327036034126,0.37181617410015944,2,3,4,plateau,1.1,0.9,0.0780943327135905,24,4,0.0002984086431609247,"[0.5719380413203563, 0.5783746866556256]","[1.301971764587384, 1.2862079695260211]",0.575156363987991,0.5735472026541737,0.0032183226676346655,COMPLETE
9,0.18842456770641283,2026-05-02 20:36:22.016616,2026-05-02 20:36:47.339539,0 days 00:00:25.322923,64,True,64,0.5309166904918565,1.903102644041797,6,256,0.1350291116388467,0.0001610148991787925,focal,1.7828597886116704,0.27594146521749313,0.1389449608918472,0.3155399234101546,2,1,4,warmup_invsqrt,1.1,0.9,0.2029447818903092,44,5,0.00020295513750923804,,,,,,PRUNED
10,0.3746870380300954,2026-05-02 20:36:47.453751,2026-05-02 20:37:16.209641,0 days 00:00:28.755890,64,False,80,0.41528894476459255,2.6020257243892093,16,192,0.10731939417388504,0.0004566769801355644,focal,1.9975292476955948,0.20264751761441252,0.3096794157584128,0.2341965636261672,3,3,3,warmup_invsqrt,1.1,0.9,0.1300134073124224,40,8,7.381686895834254e-05,,,,,,PRUNED
11,0.5594398524727288,2026-05-02 20:37:16.324057,2026-05-02 20:38:19.504983,0 days 00:01:03.180926,64,False,64,0.3045654087251752,2.205799143056386,10,320,0.07352229313464913,0.0009594740930315511,focal,1.48191914560492,0.062297458160299204,0.261915005080915,0.23524557460625856,3,2,2,warmup_invsqrt,1.1,0.9,0.29526837736068956,40,8,0.00012779084294020616,,,,,,PRUNED
12,0.5604467444501551,2026-05-02 20:38:19.616668,2026-05-02 20:40:29.869399,0 days 00:02:10.252731,64,False,80,0.37772753945065124,2.2514347202669955,14,320,0.07808805281838008,0.0006157884932508801,focal,1.5312423111834372,0.05218949392562812,0.24469898295902348,0.3881051231324414,3,2,3,warmup_invsqrt,1.1,0.9,0.2570245167277245,20,7,0.00045601707969541755,"[0.5782802189080294, 0.554502252964197]","[0.6274247975658169, 0.659154269478018]",0.5663912359361132,0.5604467444501551,0.011888982971916207,COMPLETE
