number,value,datetime_start,datetime_complete,duration,params_batch_size,params_class_weighting,params_cnn_channels,params_dropout,params_focal_gamma,params_freq_mask_param,params_hidden_size,params_label_smoothing,params_learning_rate,params_loss_type,params_max_grad_norm,params_min_lr_ratio,params_mixup_alpha,params_mixup_prob,params_num_freq_masks,params_num_layers,params_num_time_masks,params_scheduler_type,params_speed_perturb_max,params_speed_perturb_min,params_speed_perturb_prob,params_time_mask_param,params_warmup_epochs,params_weight_decay,user_attrs_repeat_best_f1s,user_attrs_repeat_best_losses,user_attrs_repeat_mean_f1,user_attrs_repeat_robust_score,user_attrs_repeat_std_f1,state
0,0.35201676060421055,2026-05-02 18:56:56.617203,2026-05-02 18:57:23.416279,0 days 00:00:26.799076,64,True,64,0.47701814444901136,,8,192,0.13699098521619943,0.0006097839109531517,ce,0.7092407909780627,0.20296322368059488,0.21685785941408728,0.2465447373174767,3,2,3,warmup_invsqrt,1.1,0.9,0.13682099526511077,20,4,5.394455304087541e-05,[0.35201676060421055],[1.5781379918114458],0.35201676060421055,0.35201676060421055,0.0,COMPLETE
1,0.3627929123604843,2026-05-02 18:57:23.525708,2026-05-02 18:57:42.858687,0 days 00:00:19.332979,64,True,80,0.32379422752781756,1.9675666141341164,6,192,0.09274563216630258,0.00011097554561103102,focal,1.3968499682166278,0.2737068376069122,0.4687496940092467,0.1353970008207678,2,1,1,warmup_invsqrt,1.1,0.9,0.058794858725743554,36,8,1.1626378306531551e-05,[0.3627929123604843],[0.9988698359016034],0.3627929123604843,0.3627929123604843,0.0,COMPLETE
2,0.3993520326434301,2026-05-02 18:57:42.960871,2026-05-02 18:58:11.830426,0 days 00:00:28.869555,32,False,80,0.47671433596190427,1.6738035892876946,10,256,0.11712703466859459,0.0005167075260023275,focal,1.4563362070328196,0.232401544584516,0.4548850970305306,0.28888597006477973,3,3,4,plateau,1.1,0.9,0.035878273781490506,32,4,0.0007360091638366148,[0.3993520326434301],[0.9813677973026852],0.3993520326434301,0.3993520326434301,0.0,COMPLETE
3,0.35474568200937767,2026-05-02 18:58:11.935777,2026-05-02 18:58:29.660974,0 days 00:00:17.725197,64,False,64,0.3888877846357622,,8,192,0.02615839278630344,0.00012884035848463504,ce,1.3090133628734761,0.27313974962249443,0.422976062065625,0.45843651996939727,1,1,3,warmup_invsqrt,1.1,0.9,0.09540104249155916,40,3,2.7253576171305756e-05,[0.35474568200937767],[1.5164091532750668],0.35474568200937767,0.35474568200937767,0.0,COMPLETE
4,0.3712570186397487,2026-05-02 18:58:29.771615,2026-05-02 18:58:49.062521,0 days 00:00:19.290906,64,False,48,0.5429455206802403,,12,256,0.06517822958253641,0.00017460443532333516,ce,0.8593428360004587,0.2770664714916634,0.15795794883648925,0.2957811041110252,3,2,2,plateau,1.1,0.9,0.2956951362331802,40,3,0.0017412787871290505,[0.3712570186397487],[1.553776983734515],0.3712570186397487,0.3712570186397487,0.0,COMPLETE
5,0.41140481947605817,2026-05-02 18:58:49.165867,2026-05-02 18:59:07.552305,0 days 00:00:18.386438,32,False,48,0.20414695723196405,,10,192,0.03811966201583504,0.000359087933424032,ce,1.8160090300714715,0.2811734045696407,0.20317665108606225,0.3639936184136716,3,3,1,plateau,1.1,0.9,0.24516666006036475,40,2,9.431030984067029e-05,[0.41140481947605817],[1.5220597665086926],0.41140481947605817,0.41140481947605817,0.0,COMPLETE
6,0.3842140031590071,2026-05-02 18:59:07.657507,2026-05-02 18:59:28.896280,0 days 00:00:21.238773,32,True,80,0.42463854713176985,1.507592375769328,12,192,0.020735764129330373,0.00045458268795291895,focal,0.9880995472389016,0.10931227187420002,0.3985965620472097,0.35985315961888587,1,1,2,plateau,1.1,0.9,0.2547670231482534,20,6,0.00014259000073698732,[0.3842140031590071],[0.9532584706656366],0.3842140031590071,0.3842140031590071,0.0,COMPLETE
7,0.3205107464381692,2026-05-02 18:59:29.000850,2026-05-02 18:59:49.416197,0 days 00:00:20.415347,64,False,64,0.37019309061021394,2.930892865503881,6,192,0.10454722959071677,0.00020745409176835388,focal,1.7795141832010402,0.2909049942723132,0.2177795568278343,0.2540390914407701,3,3,4,warmup_invsqrt,1.1,0.9,0.25534100145505706,40,8,5.4692231235925465e-05,[0.3205107464381692],[0.8177429051707974],0.3205107464381692,0.3205107464381692,0.0,COMPLETE
